Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Schottky","C_0805_2012Metric",126.100000,-129.850000,-90.000000,bottom
"C1","220u","CP_Radial_D4.0mm_P1.50mm",116.100000,-127.100000,-90.000000,top
"C2","100u","C_0805_2012Metric",129.900000,-83.200000,90.000000,top
"J1","Conn_01x02_Socket","TerminalBlock_bornier-2_P5.08mm",98.520000,-135.150000,0.000000,top
"J2","Conn_01x22_Socket","PinSocket_1x22_P2.54mm_Vertical",97.300000,-66.810000,0.000000,top
"J3","Conn_01x22_Socket","PinSocket_1x22_P2.54mm_Vertical",63.200000,-66.860000,0.000000,top
"J4","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",141.650000,-58.000000,0.000000,top
"J5","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",111.650000,-58.000000,0.000000,top
"J6","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",73.580000,-135.000000,90.000000,top
"L1","68u","L_0805_2012Metric",126.100000,-125.550000,180.000000,top
"R1","3k","R_0603_1608Metric",122.250000,-126.375000,90.000000,top
"R2","1k","R_0603_1608Metric",122.250000,-129.875000,90.000000,top
"R3","17k","R_0603_1608Metric",133.250000,-85.025000,-90.000000,top
"R4","10k","R_0603_1608Metric",133.250000,-81.225000,-90.000000,top
"U1","ESP32-S3-DEVKITC-1U-N8R2","XCVR_ESP32-S3-DEVKITC-1U-N8R2",80.120000,-90.270000,180.000000,top
"U2","LM2596DSADJG","CONV_LM2596DSADJG",137.387500,-127.300000,0.000000,top
"U3","DWM1000","BU01",126.650000,-53.550000,0.000000,top
"U4","~","STM32N6_Board",201.150000,-96.200000,0.000000,top
"U5","~","SOT-23-5",137.887500,-83.250000,180.000000,top
