"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_0805_2012Metric";1;"68u";;;
2;"J5,J4";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08_Socket";;;
3;"J2,J3";"PinSocket_1x22_P2.54mm_Vertical";2;"Conn_01x22_Socket";;;
4;"D1";"C_0805_2012Metric";1;"D_Schottky";;;
5;"J6";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05_Socket";;;
6;"U2";"CONV_LM2596DSADJG";1;"LM2596DSADJG";;;
7;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"Conn_01x02_Socket";;;
8;"C1";"CP_Radial_D4.0mm_P1.50mm";1;"220u";;;
9;"U4";"STM32N6_Board";1;"~";;;
10;"C2";"C_0805_2012Metric";1;"100u";;;
11;"R2";"R_0603_1608Metric";1;"1k";;;
12;"U1";"XCVR_ESP32-S3-DEVKITC-1U-N8R2";1;"ESP32-S3-DEVKITC-1U-N8R2";;;
13;"U5";"SOT-23-5";1;"~";;;
14;"R4";"R_0603_1608Metric";1;"10k";;;
15;"R1";"R_0603_1608Metric";1;"3k";;;
16;"R3";"R_0603_1608Metric";1;"17k";;;
17;"U3";"BU01";1;"DWM1000";;;
