Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100n","C_0402_1005Metric",208.100000,-121.130000,90.000000,bottom
"C8","100n","C_0402_1005Metric",208.100000,-123.120000,-90.000000,bottom
"C9","10u","C_0402_1005Metric",207.000000,-121.130000,90.000000,bottom
"C10","10u","C_0402_1005Metric",207.000000,-123.120000,-90.000000,bottom
"C11","1u","C_0402_1005Metric",205.900000,-121.130000,90.000000,bottom
"C12","1u","C_0402_1005Metric",205.900000,-123.120000,-90.000000,bottom
"C13","100n","C_0402_1005Metric",200.070000,-122.100000,0.000000,bottom
"C14","100n","C_0402_1005Metric",193.850000,-122.920000,90.000000,bottom
"C15","100n","C_0402_1005Metric",198.600000,-122.570000,90.000000,bottom
"C16","100n","C_0402_1005Metric",194.950000,-122.920000,90.000000,bottom
"C17","100n","C_0402_1005Metric",198.350000,-120.530000,90.000000,bottom
"C18","100n","C_0402_1005Metric",196.310589,-120.660589,135.000000,bottom
"C19","100n","C_0402_1005Metric",200.070000,-123.200000,0.000000,bottom
"C20","1u","C_0402_1005Metric",207.750000,-117.440666,90.000000,bottom
"C21","100n","C_0402_1005Metric",206.704000,-117.440666,90.000000,bottom
"C22","100n","C_0402_1005Metric",206.770000,-129.250000,0.000000,bottom
"C23","1u","C_0402_1005Metric",202.030000,-120.950000,0.000000,bottom
"C24","1u","C_0402_1005Metric",200.050000,-121.100000,0.000000,bottom
"C25","1u","C_0402_1005Metric",202.550000,-117.700000,-45.000000,bottom
"C26","1u","C_0402_1005Metric",202.030000,-123.050000,0.000000,bottom
"C27","1u","C_0402_1005Metric",201.500000,-119.500000,90.000000,bottom
"C28","1u","C_0402_1005Metric",202.030000,-122.000000,0.000000,bottom
"C29","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",199.700000,-129.450000,-90.000000,bottom
"C30","100n","C_0402_1005Metric",210.100000,-122.770000,-90.000000,bottom
"C31","100n","C_0402_1005Metric",205.170000,-118.550000,0.000000,bottom
"C33","100n","C_0402_1005Metric",206.050000,-119.650000,0.000000,bottom
"C34","100n","C_0402_1005Metric",204.450000,-124.450000,0.000000,bottom
"C37","470p","C_0402_1005Metric",203.962000,-87.348000,90.000000,bottom
"C38","470u","C_0402_1005Metric",203.482000,-84.836000,180.000000,bottom
"C43","100n","C_0402_1005Metric",175.150000,-117.300000,-90.000000,bottom
"C44","4.7u","C_0402_1005Metric",176.150000,-117.300000,-90.000000,bottom
"C45","4.7u","C_0402_1005Metric",179.350000,-112.050000,0.000000,bottom
"C46","100n","C_0402_1005Metric",179.350000,-111.050000,0.000000,bottom
"C47","4.7u","C_0402_1005Metric",179.400000,-118.650000,180.000000,bottom
"C48","100n","C_0402_1005Metric",179.400000,-119.650000,180.000000,bottom
"C49","12p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",209.500000,-127.800000,0.000000,bottom
"C52","12p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",209.450000,-126.250000,0.000000,bottom
"C55","4.7u","C_0402_1005Metric",181.250000,-127.150000,90.000000,bottom
"C58","100n","C_0402_1005Metric",180.500000,-121.970000,90.000000,bottom
"C59","4.7u","C_0402_1005Metric",179.400000,-121.970000,90.000000,bottom
"C60","100n","C_0402_1005Metric",179.300000,-127.750000,180.000000,bottom
"C61","4.7u","C_0402_1005Metric",179.300000,-123.750000,180.000000,bottom
"C62","100n","C_0402_1005Metric",179.300000,-124.750000,180.000000,bottom
"C63","4.7u","C_0402_1005Metric",176.880000,-126.200000,180.000000,bottom
"C64","100n","C_0402_1005Metric",176.880000,-125.200000,180.000000,bottom
"C65","4.7u","C_0402_1005Metric",176.880000,-127.200000,180.000000,bottom
"C66","100n","C_0402_1005Metric",176.880000,-128.200000,180.000000,bottom
"C67","4.7u","C_0402_1005Metric",179.300000,-125.750000,180.000000,bottom
"C68","100n","C_0402_1005Metric",179.300000,-126.750000,180.000000,bottom
"C69","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",198.962500,-94.150000,0.000000,bottom
"D1","D_Schottky","Schottky_DIOM4325X250N",194.580000,-83.820000,90.000000,bottom
"FB1","50R@100M","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",212.000000,-122.750000,90.000000,bottom
"J4","Conn_01x18_Pin","PinHeader_1x18_P2.54mm_Vertical",220.000000,-100.000000,180.000000,bottom
"J5","Conn_01x18_Pin","PinHeader_1x18_P2.54mm_Vertical",160.000000,-100.000000,180.000000,bottom
"L2","2.2n","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",215.450000,-122.750000,90.000000,bottom
"L3","220u","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",199.644000,-86.360000,90.000000,bottom
"R10","7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",216.408000,-86.630000,-90.000000,bottom
"R11","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.930000,-81.436000,0.000000,bottom
"R12","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",205.756000,-81.534000,0.000000,bottom
"R14","10k","R_0402_1005Metric",182.600000,-117.440000,-90.000000,bottom
"R17","10k","R_0402_1005Metric",181.610000,-118.950000,180.000000,bottom
"R19","200R","R_0402_1005Metric",204.650000,-130.200000,0.000000,bottom
"R23","200R","R_0402_1005Metric",203.000000,-130.460000,-90.000000,bottom
"R24","5k","R_0402_1005Metric",189.150000,-153.150000,-90.000000,bottom
"R25","5k","R_0402_1005Metric",190.928000,-153.150000,-90.000000,bottom
"R44","0R","R_0402_1005Metric",206.650000,-104.890000,90.000000,bottom
"R45","0R","R_0402_1005Metric",205.580000,-104.890000,90.000000,bottom
"U6","MC34064-ADJ-TR","SO-8_3.9x4.9mm_P1.27mm",209.804000,-86.614000,0.000000,bottom
"U13","ECMF2-40A100N6","ST_UQFN-6L_1.5x1.7mm_P0.5mm",206.250000,-107.812500,90.000000,bottom
"Y1","32.768kHz","32kHz_SC-20S_2Pin_2.05x1.2mm",207.182368,-127.000000,-90.000000,bottom
"C1","4.7u","C_0402_1005Metric",207.770000,-124.900000,180.000000,top
"C3","15u","C_0402_1005Metric",209.996000,-127.842000,0.000000,top
"C4","15u","C_0402_1005Metric",209.996000,-128.936000,0.000000,top
"C5","15u","C_0402_1005Metric",209.996000,-130.150000,0.000000,top
"C32","100n","C_0402_1005Metric",201.000000,-114.300000,90.000000,top
"C35","15u","C_0402_1005Metric",209.996000,-126.750000,0.000000,top
"C36","100u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.750000,-92.100000,180.000000,top
"C39","100u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.950000,-89.600000,90.000000,top
"C40","100u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.300000,-89.900000,90.000000,top
"C41","100u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.900000,-89.100000,90.000000,top
"C42","100u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.950000,-100.500000,90.000000,top
"C50","100u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.500000,-100.200000,90.000000,top
"C51","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.550000,-149.075500,90.000000,top
"C53","12p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",198.850000,-132.750000,-45.000000,top
"C54","12p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",201.750000,-132.900000,-135.000000,top
"C56","100n","C_0402_1005Metric",182.750000,-134.320000,-90.000000,top
"C57","4.7u","C_0402_1005Metric",183.850000,-134.320000,-90.000000,top
"D2","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",203.100000,-90.650000,180.000000,top
"D3","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.600000,-130.200000,0.000000,top
"D4","D_TVS","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",198.750000,-150.850000,90.000000,top
"D5","D","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",195.000000,-146.400000,-90.000000,top
"D6","LED_Small","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",198.400000,-112.775000,-90.000000,top
"D7","D_TVS_Dual_AAC","SOT-723",157.500000,-96.000000,90.000000,top
"D8","D_TVS_Dual_AAC","SOT-723",157.500000,-146.680000,-90.000000,top
"D9","D_TVS_Dual_AAC","SOT-723",222.500000,-96.000000,90.000000,top
"D10","D_TVS_Dual_AAC","SOT-723",222.500000,-146.680000,-90.000000,top
"D12","D_TVS","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.150000,-109.800000,180.000000,top
"FB2","70R@100M","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",210.600000,-123.650000,-90.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",212.400000,-116.000000,-90.000000,top
"J3","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",168.350000,-143.150000,180.000000,top
"J6","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",215.000000,-100.000000,0.000000,top
"J7","SFW15R-2STE1LF","AMPHENOL_SFW15R-2STE1LF",200.550000,-100.050000,180.000000,top
"J9","BOOT1","PinHeader_1x03_P2.54mm_Vertical",186.920000,-110.500000,90.000000,top
"J10","BOOT0","PinHeader_1x03_P2.54mm_Vertical",186.920000,-105.910000,90.000000,top
"J11","Conn_01x18_Socket","PinSocket_1x18_P2.54mm_Vertical",225.000000,-100.000000,0.000000,top
"J12","Conn_01x18_Socket","PinSocket_1x18_P2.54mm_Vertical",155.000000,-100.000000,0.000000,top
"J13","TYPE-C_16PIN_2MD__073_","SHOUHAN_TYPE-C_16PIN_2MD__073_",190.250000,-154.550000,0.000000,top
"R1","7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.402000,-84.328000,0.000000,top
"R3","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.990000,-84.328000,0.000000,top
"R4","7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.862000,-84.328000,0.000000,top
"R5","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",185.434000,-84.328000,0.000000,top
"R6","7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",194.040000,-84.328000,0.000000,top
"R7","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",198.628000,-84.328000,0.000000,top
"R8","17k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.848000,-95.482500,0.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",185.420000,-95.482500,0.000000,top
"R13","0R","R_0402_1005Metric",190.090000,-113.950000,180.000000,top
"R15","2k","R_0402_1005Metric",158.160000,-124.200000,180.000000,top
"R16","10k","R_0402_1005Metric",191.800000,-113.440000,90.000000,top
"R18","200R","R_0402_1005Metric",203.200000,-89.150000,180.000000,top
"R20","20R","R_0402_1005Metric",206.460000,-114.850000,0.000000,top
"R21","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.402000,-95.482500,0.000000,top
"R22","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.974000,-95.482500,0.000000,top
"R26","10k","R_0402_1005Metric",189.569250,-145.891000,180.000000,top
"R27","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.550000,-154.150000,-90.000000,top
"R28","2k","R_0402_1005Metric",158.160000,-126.740000,180.000000,top
"R29","2k","R_0402_1005Metric",221.890000,-124.200000,0.000000,top
"R30","2k","R_0402_1005Metric",221.890000,-126.740000,0.000000,top
"R31","200","R_0402_1005Metric",196.114000,-112.791000,-90.000000,top
"R46","0R","R_0402_1005Metric",203.802000,-104.890000,90.000000,top
"R47","0R","R_0402_1005Metric",202.532000,-104.892000,90.000000,top
"R48","0R","R_0402_1005Metric",200.754000,-104.890000,90.000000,top
"R49","0R","R_0402_1005Metric",199.484000,-104.892000,90.000000,top
"SW2","SW_Push","SW_SPST_Omron_B3FS-101xP",169.978000,-151.376000,0.000000,top
