"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R31";"R_0402_1005Metric";1;"200";;;
2;"C42,C39,C41,C50,C40,C36";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100u";;;
3;"U8,U2,U4,U5,U3";"SOT-23-5";5;"SPX5205-ADJ";;;
4;"C54,C53,C52,C49";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";4;"12p";;;
5;"D8,D10,D9,D7";"SOT-723";4;"D_TVS_Dual_AAC";;;
6;"D4,D12";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"D_TVS";;;
7;"R9,R27,R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
8;"C56,C32,C22,C14,C33,C60,C13,C62,C48,C64,C30,C21,C16,C66,C34,C7,C31,C18,C68,C43,C8,C46,C15,C58,C19,C17";"C_0402_1005Metric";26;"100n";;;
9;"C57,C1,C63,C47,C44,C45,C55,C59,C67,C65,C61";"C_0402_1005Metric";11;"4.7u";;;
10;"R15,R29,R30,R28";"R_0402_1005Metric";4;"2k";;;
11;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"BOOT0";;;
12;"R46,R49,R47,R48,R13,R45,R44";"R_0402_1005Metric";7;"0R";;;
13;"R21,R3,R7,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"15k";;;
14;"FB2";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"70R@100M";;;
15;"J12,J11";"PinSocket_1x18_P2.54mm_Vertical";2;"Conn_01x18_Socket";;;
16;"C4,C3,C5,C35";"C_0402_1005Metric";4;"15u";;;
17;"R16,R26,R14,R17";"R_0402_1005Metric";4;"10k";;;
18;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"BOOT1";;;
19;"U10";"SOT-23-5";1;"STMPS2151STR";;;
20;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"17k";;;
21;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
22;"U14,U12,U9,U13";"ST_UQFN-6L_1.5x1.7mm_P0.5mm";4;"ECMF2-40A100N6";;;
23;"R4,R1,R6,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"7k";;;
24;"D2,D3";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"LED";;;
25;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
26;"C51";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
27;"U11";"IS42S16800F-7BL_BGA54C80P9X9_800X800X120";1;"IS42S16800F-7BL";;;
28;"R20";"R_0402_1005Metric";1;"20R";;;
29;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D";;;
30;"J3";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Pin";;;
31;"Y3";"48MHz_Q22FA12800150_4Pin_2.0z1.6mm";1;"48MHz";;;
32;"J7";"AMPHENOL_SFW15R-2STE1LF";1;"SFW15R-2STE1LF";;;
33;"U1";"STM32N657I0H3Q_VFBGA178_14x14";1;"STM32N657I0H3Q";;;
34;"SW2";"SW_SPST_Omron_B3FS-101xP";1;"SW_Push";;;
35;"J13";"SHOUHAN_TYPE-C_16PIN_2MD__073_";1;"TYPE-C_16PIN_2MD__073_";;;
36;"D6";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"LED_Small";;;
37;"R18,R19,R23";"R_0402_1005Metric";3;"200R";;;
38;"U7";"MX25LM51245GXD100_BGA24C100P5X5_600X800X120";1;"MX25LM51245GXDI00";;;
39;"FB1";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"50R@100M";;;
40;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5k";;;
41;"J5,J4";"PinHeader_1x18_P2.54mm_Vertical";2;"Conn_01x18_Pin";;;
42;"Y1";"32kHz_SC-20S_2Pin_2.05x1.2mm";1;"32.768kHz";;;
43;"C37";"C_0402_1005Metric";1;"470p";;;
44;"C28,C26,C12,C25,C11,C23,C24,C27,C20";"C_0402_1005Metric";9;"1u";;;
45;"C69,C29";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
46;"L3";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"220u";;;
47;"C38";"C_0402_1005Metric";1;"470u";;;
48;"R25,R24";"R_0402_1005Metric";2;"5k";;;
49;"L2";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2.2n";;;
50;"D1";"Schottky_DIOM4325X250N";1;"D_Schottky";;;
51;"C9,C10";"C_0402_1005Metric";2;"10u";;;
52;"U6";"SO-8_3.9x4.9mm_P1.27mm";1;"MC34064-ADJ-TR";;;
53;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3k";;;
