"Position","Name","Type","Signal","Label"
"A1","PDR_ON","MonoIO","",""
"A2","OTG2_HSDM","MonoIO","",""
"A3","NC","NC","",""
"A4","VDD33USB","Power","",""
"A5","OTG1_HSDM","MonoIO","USB1_OTG_HS_DM",""
"A6","UCPD1_CC1","MonoIO","",""
"A7","PH1-OSC_OUT(PH1)","I/O","",""
"A8","PC6","I/O","HDP_HDP6",""
"A9","PC7","I/O","TIM3_CH2",""
"A10","PE6","I/O","I2C1_SDA",""
"A11","PD6","I/O","FMC_A1",""
"A12","PD0","I/O","FMC_A6",""
"A13","PD3","I/O","FMC_A10",""
"A14","VSS","Power","",""
"B1","PC14-OSC32_IN(OSC32_IN)","I/O","",""
"B2","OTG2_HSDP","MonoIO","",""
"B3","OTG1_ID","MonoIO","USB1_OTG_HS_ID",""
"B4","OTG2_TXRTUNE","MonoIO","",""
"B5","OTG1_HSDP","MonoIO","USB1_OTG_HS_DP",""
"B6","UCPD1_CC2","MonoIO","",""
"B7","PH0-OSC_IN(PH0)","I/O","",""
"B8","PC1","I/O","UART4_TX",""
"B9","PE11","I/O","FMC_SDNWE",""
"B10","PE15","I/O","FMC_SDCKE0",""
"B11","PD7","I/O","FMC_A2",""
"B12","PD1","I/O","FMC_A7",""
"B13","PD4","I/O","FMC_A11",""
"B14","PE9","I/O","FMC_BA0",""
"C1","PC15-OSC32_OUT(OSC32_OUT)","I/O","",""
"C2","VBAT","Power","",""
"C3","PC13","I/O","HDP_HDP5",""
"C4","NC","NC","",""
"C5","OTG2_ID","MonoIO","",""
"C6","PC8","I/O","HDP_HDP0",""
"C7","PC11","I/O","HDP_HDP3",""
"C8","PH9","I/O","UART4_RX",""
"C9","PE14","I/O","FMC_SDNE0",""
"C10","PE13","I/O","FMC_SDNCAS",""
"C11","PD10","I/O","FMC_A3",""
"C12","PD15","I/O","FMC_A8",""
"C13","PE8","I/O","USART3_TX",""
"C14","PE10","I/O","FMC_BA1",""
"D1","V08CAP","Power","",""
"D2","VFBSMPS","Power","",""
"D3","BOOT0","Boot","",""
"D4","VDDA18USB","Power","",""
"D5","OTG1_TXRTUNE","MonoIO","",""
"D6","PC9","I/O","HDP_HDP1",""
"D7","PC12","I/O","HDP_HDP4",""
"D8","PC10","I/O","HDP_HDP2",""
"D9","PE5","I/O","I2C1_SCL",""
"D10","PE12","I/O","FMC_SDNRAS",""
"D11","PE7","I/O","FMC_A4",""
"D12","PD14","I/O","FMC_A9",""
"D13","PD8","I/O","FMC_NBL0",""
"D14","PD5","I/O","USART2_TX",""
"E1","VDDA18PMU","Power","",""
"E2","VSSAPMU","Power","",""
"E3","PWR_ON","MonoIO","",""
"E4","NRST","Reset","",""
"E5","VDDA18AON","Power","",""
"E6","PH2","I/O","",""
"E7","VSS","Power","",""
"E8","VDDIO4","Power","",""
"E9","VDDIO4","Power","",""
"E10","PD2","I/O","FMC_A0",""
"E11","PD12","I/O","FMC_A5",""
"E12","PB3","I/O","FMC_NBL1",""
"E13","PB2","I/O","FMC_D2",""
"E14","PD13","I/O","TIM4_CH2",""
"F1","VSSSMPS","Power","",""
"F2","VSSSMPS","Power","",""
"F3","VSSSMPS","Power","",""
"F4","VSSSMPS","Power","",""
"F5","VSSAON","Power","",""
"F10","VSS","Power","",""
"F11","PD11","I/O","FMC_D8",""
"F12","PE0","I/O","USART3_RX",""
"F13","PE1","I/O","FMC_D10",""
"F14","PE2","I/O","FMC_D11",""
"G1","VLXSMPS","Power","",""
"G2","VLXSMPS","Power","",""
"G3","VLXSMPS","Power","",""
"G4","VLXSMPS","Power","",""
"G10","VDD","Power","",""
"G11","VDD","Power","",""
"G12","VDD","Power","",""
"G13","PE3","I/O","FMC_D12",""
"G14","PB0","I/O","FMC_D13",""
"H1","VDDSMPS","Power","",""
"H2","VDDSMPS","Power","",""
"H3","VDDSMPS","Power","",""
"H4","VDDSMPS","Power","",""
"H10","VSS","Power","",""
"H11","VSS","Power","",""
"H12","PD9","I/O","FMC_SDCLK",""
"H13","PB7","I/O","FMC_D15",""
"H14","PB6","I/O","FMC_D14",""
"J1","PF4","I/O","SPI1_NSS",""
"J2","PF6","I/O","USART2_RX",""
"J3","PF10","I/O","",""
"J4","PF5","I/O","",""
"J5","PF3","I/O","",""
"J10","VDDIO3","Power","",""
"J11","VDDIO3","Power","",""
"J12","PN12","I/O","",""
"J13","PN4","I/O","XSPIM_P2_IO2",""
"J14","PN8","I/O","XSPIM_P2_IO4",""
"K1","PF2","I/O","",""
"K2","PF14","I/O","TIM2_CH2",""
"K3","PF15","I/O","SPI5_SCK",""
"K4","PF7","I/O","TIM3_CH3",""
"K5","VSS","Power","",""
"K6","VDDCORE","Power","",""
"K7","VDDCORE","Power","",""
"K8","VDDCORE","Power","",""
"K9","VDDCORE","Power","",""
"K10","VSS","Power","",""
"K11","PA3","I/O","SPI5_NSS",""
"K12","PN6","I/O","XSPIM_P2_CLK",""
"K13","PN7","I/O","",""
"K14","PN5","I/O","XSPIM_P2_IO3",""
"L1","PF8","I/O","",""
"L2","PF11","I/O","SPI5_MOSI",""
"L3","PF12","I/O","SPI5_MISO",""
"L4","VDDA18PLL","Power","",""
"L5","PG14","I/O","",""
"L6","PA12","I/O","FMC_D0",""
"L7","VDDCORE","Power","",""
"L8","PA6","I/O","BOOT1",""
"L9","PA1","I/O","FMC_D6",""
"L10","PB11","I/O","I2C2_SDA",""
"L11","PB4(NJTRST)","I/O","SPI1_MISO",""
"L12","PG8","I/O","USART1_RX",""
"L13","PN2","I/O","XSPIM_P2_IO0",""
"L14","PN9","I/O","XSPIM_P2_IO5",""
"M1","VREF+","MonoIO","",""
"M2","PF13","I/O","USART1_TX",""
"M3","VDDA18ADC","Power","",""
"M4","VSSA","Power","",""
"M5","PG15","I/O","TIM1_CH4",""
"M6","PA11","I/O","FMC_D1",""
"M7","PA9","I/O","FMC_D3",""
"M8","PA5","I/O","SPI1_SCK",""
"M9","PG1","I/O","",""
"M10","PB12","I/O","FMC_D9",""
"M11","PB5(JTDO/TRACESWO)","I/O","SPI1_MOSI",""
"M12","PG0","Output","GPIO_Output",""
"M13","PN0","I/O","XSPIM_P2_DQS0",""
"M14","PN10","I/O","XSPIM_P2_IO6",""
"N1","VREF-","Power","",""
"N2","CSI_D1N","MonoIO","",""
"N3","CSI_CKN","MonoIO","",""
"N4","CSI_D0N","MonoIO","",""
"N5","CSI_REXT","MonoIO","",""
"N6","VDDCSI","Power","",""
"N7","PA10","I/O","TIM1_CH3",""
"N8","PA2","I/O","FMC_D5",""
"N9","PG12","Output","GPIO_Output",""
"N10","PG10","Output","GPIO_Output",""
"N11","PG2","Output","GPIO_Output",""
"N12","PA15(JTDI)","I/O","TIM2_CH1",""
"N13","PN3","I/O","XSPIM_P2_IO1",""
"N14","PN11","I/O","XSPIM_P2_IO7",""
"P1","VSS","Power","",""
"P2","CSI_D1P","MonoIO","",""
"P3","CSI_CKP","MonoIO","",""
"P4","CSI_D0P","MonoIO","",""
"P5","VDDA18CSI","Power","",""
"P6","PA14(JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK",""
"P7","PA13(JTMS/SWDIO)","I/O","DEBUG_JTMS-SWDIO",""
"P8","PA8","I/O","FMC_D4",""
"P9","PG13","I/O","TIM4_CH1",""
"P10","PA0","I/O","FMC_D7",""
"P11","PB10","I/O","I2C2_SCL",""
"P12","PA7","I/O","HDP_HDP7",""
"P13","PN1","I/O","XSPIM_P2_NCS1",""
"P14","VSS","Power","",""
